a00	A00 - Kolera
a000	A00.0 - Kolera orsakad av Vibrio cholerae 01, biovar cholerae
a001	A00.1 - Kolera orsakad av Vibrio cholerae 01, biovar el tor
a009	A00.9 - Kolera, ospecificerad
a01	A01 - Tyfoidfeber och paratyfoidfeber
a010	A01.0 - Tyfoidfeber
a011	A01.1 - Paratyfoidfeber A
a012	A01.2 - Paratyfoidfeber B
a013	A01.3 - Paratyfoidfeber C
a014	A01.4 - Paratyfoidfeber, ospecificerad
a02	A02 - Andra salmonellainfektioner
a020	A02.0 - Salmonellaenterit
a021	A02.1 - Salmonellaseptikemi
a022	A02.2 - Lokaliserade salmonellainfektioner
a028	A02.8 - Andra specificerade salmonellainfektioner
a029	A02.9 - Andra salmonellainfektioner, ospecificerade
a03	A03 - Shigellos (bakteriell dysenteri, rödsot)
a030	A03.0 - Shigella dysenteriae
a031	A03.1 - Shigella flexneri
a032	A03.2 - Shigella boydii
a033	A03.3 - Shigella sonnei
a038	A03.8 - Annan specificerad shigellos
a039	A03.9 - Shigellos, ospecificerad
a04	A04 - Andra bakteriella tarminfektioner
a040	A04.0 - Infektion med tarmpatogena Escherichia coli-bakterier
a041	A04.1 - Infektion med tarmtoxiska Escherichia coli-bakterier
a042	A04.2 - Infektion med tarminvasiva Escherichia coli-bakterier
a043	A04.3 - Infektion med tarmhemorragiska Escherichia coli-bakterier
a044	A04.4 - Annan tarminfektion med Escherichia coli
a045	A04.5 - Enterit orsakad av Campylobacter
a046	A04.6 - Enterit orsakad av Yersinia enterocolitica
a047	A04.7 - Enterokolit orsakad av Clostridium difficile
a048	A04.8 - Andra specificerade bakteriella tarminfektioner
a049	A04.9 - Bakteriell tarminfektion, ospecificerad
a05	A05 - Annan matförgiftning orsakad av bakterier som ej klassificeras annorstädes
a050	A05.0 - Matförgiftning orsakad av stafylokocker
a051	A05.1 - Botulism
a052	A05.2 - Matförgiftning orsakad av Clostridium perfringens
a053	A05.3 - Matförgiftning orsakad av Vibrio parahaemolyticus
a054	A05.4 - Matförgiftning orsakad av Bacillus cereus
a058	A05.8 - Andra specificerade matförgiftningar orsakade av bakterier
a059	A05.9 - Matförgiftning orsakad av bakterier, ospecificerad
a06	A06 - Amöbainfektion
a060	A06.0 - Akut amöbadysenteri
a061	A06.1 - Kronisk intestinal amöbainfektion
a062	A06.2 - Kolit orsakad av amöba
a063	A06.3 - Amöbom i tarmen
a064	A06.4 - Leverabscess orsakad av amöba
a065	A06.5 - Lungabscess orsakad av amöba
a066	A06.6 - Hjärnabscess orsakad av amöba
a067	A06.7 - Sårbildning i huden orsakad av amöba
a068	A06.8 - Amöbainfektion med annan lokalisation
a069	A06.9 - Amöbainfektion, ospecificerad
a07	A07 - Andra protozosjukdomar i tarmen
a070	A07.0 - Balantidiasis
a071	A07.1 - Giardiasis
a072	A07.2 - Infektion orsakad av Cryptosporidium
a073	A07.3 - Isosporiasis
a078	A07.8 - Andra specificerade tarmsjukdomar orsakade av protozoer
a079	A07.9 - Protozosjukdom i tarmen, ospecificerad
a08	A08 - Tarminfektioner orsakade av virus och andra specificerade organismer
a080	A08.0 - Enterit orsakad av rotavirus
a081	A08.1 - Akut gastroenteropati orsakad av Norwalk-faktor
a082	A08.2 - Enterit orsakad av adenovirus
a083	A08.3 - Enterit orsakad av annat specificerat virus
a083a	A08.3A - Coxsackievirus-enterit
a083b	A08.3B - Echovirus-enterit
a083w	A08.3W - Enterit orsakad av annat specificerat virus
a084	A08.4 - Enterit orsakad av icke specificerat virus
a085	A08.5 - Andra specificerade tarminfektioner
a09	A09 - Annan gastroenterit och kolit av infektiös och ospecificerad orsak
a090	A09.0 - Annan och ospecificerad gastroenterit och kolit av infektiös orsak
a099	A09.9 - Gastroenterit och kolit av icke specificerad orsak
a15	A15 - Tuberkulos i andningsorganen, bakteriologiskt och histologiskt verifierad
a150	A15.0 - Lungtuberkulos, verifierad med mikroskopisk sputumundersökning, med eller utan odling
a151	A15.1 - Lungtuberkulos, verifierad endast med odling
a152	A15.2 - Lungtuberkulos, verifierad histologiskt
a153	A15.3 - Lungtuberkulos, verifierad med icke angiven metod
a154	A15.4 - Tuberkulos i intratorakala lymfkörtlar, verifierad bakteriologiskt och histologiskt
a155	A15.5 - Tuberkulos i larynx, trakea och bronker, verifierad bakteriologiskt och histologiskt
a156	A15.6 - Tuberkulös pleurit, verifierad bakteriologiskt och histologiskt
a157	A15.7 - Primär tuberkulos i andningsorganen, verifierad bakteriologiskt och histologiskt
